Highest Layer,Transport Layer,Source IP,Dest IP,Source Port,Dest Port,Packet Length,Packets/Time
TCP,TCP,0,23.76.156.32,58670,443,54,41.835389586171
TLS,TCP,1,192.168.1.2,443,58670,1514,42.0273227205461
TLS,TCP,1,192.168.1.2,443,58670,1514,42.19707405802459
TLS,TCP,1,192.168.1.2,443,58670,1514,42.36613218647453
TLS,TCP,1,192.168.1.2,443,58670,1514,42.54533675381152
TLS,TCP,1,192.168.1.2,443,58670,1514,42.71304173250383
TLS,TCP,1,192.168.1.2,443,58670,1514,42.88006326169651
TLS,TCP,1,192.168.1.2,443,58670,1514,43.046410662381774
TCP,TCP,0,23.76.156.32,58670,443,54,43.26675473332128
TCP,TCP,0,23.76.156.32,58670,443,54,43.486767139130414
TLS,TCP,1,192.168.1.2,443,58670,1514,43.67334248673515
TLS,TCP,1,192.168.1.2,443,58670,1514,43.826206767337204
TLS,TCP,1,192.168.1.2,443,58670,1514,43.967333731273904
TLS,TCP,1,192.168.1.2,443,58670,1514,44.03050628930968
TLS,TCP,1,192.168.1.2,443,58670,1514,43.97263810309044
TLS,TCP,1,192.168.1.2,443,58670,1514,43.98068230706003
TLS,TCP,1,192.168.1.2,443,58670,1514,43.999448879048465
TLS,TCP,1,192.168.1.2,443,58670,1514,44.147586522664696
TCP,TCP,0,23.76.156.32,58670,443,54,44.29506642401409
TLS,TCP,1,192.168.1.2,443,58670,1514,44.48535610303546
TLS,TCP,1,192.168.1.2,443,58670,1514,43.56893751542537
TLS,TCP,1,192.168.1.2,443,58670,1514,43.25093414497867
TLS,TCP,1,192.168.1.2,443,58670,1514,43.38400817286102
TLS,TCP,1,192.168.1.2,443,58670,1514,43.52664706683808
TLS,TCP,1,192.168.1.2,443,58670,1514,43.577094834224106
TLS,TCP,1,192.168.1.2,443,58670,1514,43.48582932765618
TLS,TCP,1,192.168.1.2,443,58670,1514,43.148215313184345
TCP,TCP,0,23.76.156.32,58670,443,54,43.24815082864845
TCP,TCP,0,23.76.156.32,58670,443,54,43.3671842735451
TCP,TCP,0,23.76.156.32,58670,443,54,43.51518939899909
TLS,TCP,1,192.168.1.2,443,58670,1514,43.65278383466766
TLS,TCP,1,192.168.1.2,443,58670,1514,43.779937871596424
TLS,TCP,1,192.168.1.2,443,58670,1514,43.916406850920396
TLS,TCP,1,192.168.1.2,443,58670,1514,43.75726300705426
TLS,TCP,1,192.168.1.2,443,58670,1514,43.94127505964112
TLS,TCP,1,192.168.1.2,443,58670,1514,43.987708665238465
TLS,TCP,1,192.168.1.2,443,58670,1514,42.86700049863713
TLS,TCP,1,192.168.1.2,443,58670,1514,43.00829085196694
TCP,TCP,0,23.76.156.32,58670,443,54,43.195465664078164
TLS,TCP,1,192.168.1.2,443,58670,1514,43.15070431573554
TLS,TCP,1,192.168.1.2,443,58670,1514,43.27187890025343
TLS,TCP,1,192.168.1.2,443,58670,1514,43.39254015165719
TLS,TCP,1,192.168.1.2,443,58670,1514,43.521926320016775
TLS,TCP,1,192.168.1.2,443,58670,533,43.47577419841621
TCP,TCP,0,23.76.156.32,58670,443,54,43.55811383765577
DATA,UDP,1,192.168.1.2,31185,54557,62,43.740926673758146
DATA,UDP,1,192.168.1.2,64495,6881,359,43.923506787375665
TCP,TCP,0,23.76.156.32,58670,443,54,43.62933455648161
DATA,UDP,0,172.217.160.131,53751,443,75,43.61958457409132
DATA,UDP,1,192.168.1.2,443,53751,69,43.7991487564128
ICMP,None,1,192.168.1.2,0,0,90,43.978488322637354
ICMP,None,1,192.168.1.2,0,0,90,44.12118757317434
ICMP,None,1,192.168.1.2,0,0,90,44.26347549931527
DATA,UDP,1,192.168.1.2,34544,54557,62,44.40535387693776
DATA,UDP,0,103.69.21.252,54557,34544,62,44.555972658135296
DATA,UDP,1,192.168.1.2,34544,54557,62,44.687891223223126
DATA,UDP,0,172.217.163.142,53753,443,75,44.75525592012124
TCP,TCP,1,192.168.1.2,38848,58685,60,44.89539155944323
DATA,UDP,1,192.168.1.2,443,53753,67,45.03512520534915
DATA,UDP,1,192.168.1.2,55695,54557,62,44.01016992732525
DATA,UDP,0,192.140.152.108,54557,55695,62,44.18213513322523
TCP,TCP,0,23.76.156.32,58670,443,54,44.33633934970758
DATA,UDP,1,192.168.1.2,55695,54557,62,44.50784092886152
TLS,TCP,1,192.168.1.2,443,58670,78,44.670304395840226
TCP,TCP,1,192.168.1.2,443,58670,60,44.61222687453378
TCP,TCP,0,23.76.156.32,58670,443,54,44.42458153708934
DATA,UDP,1,192.168.1.2,6881,54557,62,44.584676225578235
DATA,TCP,0,45.121.91.91,58590,37929,58,44.75322954267307
DATA,TCP,0,45.121.88.147,58594,64518,58,44.92158619131816
TCP,TCP,0,123.201.175.63,58690,21513,66,45.07222173484128
TCP,TCP,0,77.18.133.195,58691,36026,66,45.23134730124313
TCP,TCP,0,65.49.14.158,58692,40649,66,45.39022802381534
TCP,TCP,0,202.65.138.198,58693,9933,66,45.451945679456855
TCP,TCP,0,65.49.14.179,58694,57215,66,45.46070038603137
TCP,TCP,0,27.34.50.244,58695,54268,66,45.61818118822036
DATA,UDP,0,103.110.169.65,54557,20837,62,45.78422279368675
TCP,TCP,0,157.44.91.139,58696,42059,66,45.941238728584
DATA,UDP,0,115.99.188.68,54557,59695,62,46.098015478094865
DATA,UDP,0,146.196.38.199,54557,59295,62,46.26343220097926
TCP,TCP,1,192.168.1.2,8292,58356,60,46.40194688374575
TCP,TCP,0,106.0.38.174,58356,8292,54,46.55798002176661
TCP,TCP,0,106.0.38.174,58356,8292,54,46.59779283284444
TCP,TCP,1,192.168.1.2,9933,58693,66,46.58413778943998
TCP,TCP,0,202.65.138.198,58693,9933,54,46.72097366660095
DATA,UDP,1,192.168.1.2,59295,54557,62,46.57474363377226
TCP,TCP,1,192.168.1.2,37929,58590,60,46.69286616199874
TCP,TCP,1,192.168.1.2,64518,58594,60,46.79303888030235
TCP,TCP,1,192.168.1.2,8292,58356,60,46.92804476266379
DATA,TCP,0,202.65.138.198,58693,9933,334,46.738480746092925
DATA,UDP,0,146.196.38.199,54557,59295,130,46.889763000910456
DATA,UDP,1,192.168.1.2,59695,54557,62,47.049567610057665
DATA,UDP,0,115.99.188.68,54557,59695,382,47.095396945560964
TCP,TCP,1,192.168.1.2,9933,58693,60,47.19330228171133
DATA,UDP,1,192.168.1.2,59295,54557,62,47.33457158723516
DATA,UDP,1,192.168.1.2,59695,54557,62,47.46680783667949
DATA,UDP,1,192.168.1.2,20837,54557,62,47.546117778189036
DATA,UDP,0,103.110.169.65,54557,20837,130,47.660136518196346
ICMP,None,1,192.168.1.2,0,0,90,47.79138585061353
TCP,TCP,1,192.168.1.2,36026,58691,60,47.91354291054746
TCP,TCP,0,77.18.133.195,58691,36026,54,47.99139348978503
DATA,UDP,1,192.168.1.2,20837,54557,62,48.14810612328381
TCP,TCP,1,192.168.1.2,40649,58692,60,48.269317284366785
TCP,TCP,0,65.49.14.158,58692,40649,54,48.40789838949931
BITTORRENT,TCP,0,65.49.14.158,58692,40649,122,48.555091671228695
TCP,TCP,1,192.168.1.2,57215,58694,60,48.533853718610054
TCP,TCP,0,65.49.14.179,58694,57215,54,48.65371639022716
DATA,TCP,0,65.49.14.179,58694,57215,151,48.7555938843364
TCP,TCP,1,192.168.1.2,40649,58692,60,48.66340170501643
TCP,TCP,1,192.168.1.2,57215,58694,60,48.79086908255481
TCP,TCP,1,192.168.1.2,57215,58694,60,48.89168436025879
TCP,TCP,0,65.49.14.179,58694,57215,54,48.87813473682485
TCP,TCP,0,65.49.14.179,58694,57215,54,48.99576801373847
ICMP,None,1,192.168.1.2,0,0,90,49.130652591873115
TCP,TCP,1,192.168.1.2,57215,58694,60,49.247718561688174
DATA,TCP,0,77.18.133.195,58691,36026,55,49.399706311646405
DATA,UDP,1,192.168.1.2,20630,54557,62,49.53387255386956
SSDP,UDP,0,239.255.255.250,47221,1900,167,49.65896024892565
SSDP,UDP,0,239.255.255.250,47221,1900,167,49.774929633458235
TCP,TCP,0,45.121.88.176,58697,6881,66,49.79335805455489
TCP,TCP,0,77.19.134.83,58698,36036,66,49.488217156184774
TCP,TCP,1,192.168.1.2,6881,58697,66,49.602771899374474
TCP,TCP,0,45.121.88.176,58697,6881,54,49.67356146368705
BITTORRENT,TCP,0,45.121.88.176,58697,6881,122,49.77881185140322
DATA,TCP,0,77.18.133.195,58691,36026,55,49.883768503101386
TCP,TCP,1,192.168.1.2,6881,58697,60,49.98843057086334
TCP,TCP,1,192.168.1.2,36036,58698,60,50.12768055646908
